0,105061.90476334262,All Other Languages
1,280646.60655659,Arabic
2,56493.08369766046,Australian Indigenous Languages
3,245075.53023072256,Cantonese
4,520523.0388913867,Mandarin
5,49622.59795465505,Croatian
6,29507.497554964608,Dutch
7,159198.8201024635,Filipino/Tagalog
8,61829.13769587836,French
9,69221.27789219983,German
10,207251.220706,Greek
11,139256.4414113961,Hindi
12,17350.68072986005,Hungarian
13,59226.09942046848,Indonesian
14,50867.41552134737,Persian
15,236927.078310279,Italian
16,48813.94631882899,Japanese
17,30905.845529321854,Khmer
18,95078.93893767553,Korean
19,57591.34951158172,Macedonian
20,27908.513252408877,Maltese
21,41932.992593482784,Polish
22,42618.64543680455,Portuguese
23,43888.76062748712,Russian
24,39145.892295247344,Samoan
25,46931.45416121019,Serbian
26,56363.97858212405,Sinhalese
27,122835.66644614295,Spanish
28,63820.67133621373,Tamil
29,50905.7981232636,Turkish
30,241977.0074578486,Vietnamese
31,38162.77428707478,Afrikaans
32,8010.6234862898355,Albanian
33,5943.196973983737,Amharic
34,8902.146648980482,Armenian
35,39856.84276255936,Assyrian/Aramaic
36,8826.253777009753,Auslan
37,47587.44772123305,Bengali
38,13802.034716332111,Bosnian
39,2336.9770575814514,Bulgarian
40,14237.328315336645,Burmese
41,17423.95660624558,"Chinese, nfd"
42,6926.314982156299,Czech
43,5039.461165228834,Danish
44,1601.6012981409276,Estonian
45,7107.760009396666,Fijian
46,5215.672201298805,Finnish
47,46121.057861660665,Gujarati
48,7831.795454634667,Hakka
49,9023.400777761304,Hebrew
50,2138.957724968167,Hmong
51,15614.740325012312,Min Nan (incl.Hokkien)
52,1317075.4317952131,Not Stated
53,1213.4136196699512,"Indo-Aryan, nfd"
54,8459.87439508209,Kannada
55,5410.20220646516,Kurdish
56,8710.233639399326,Lao
57,2575.1236558344326,Latvian
58,15646.144272034682,Malay
59,46410.67203975587,Malayalam
60,4465.466800208828,Maori (Cook Island)
61,10246.410047910314,Maori (New Zealand)
62,11390.037118641663,Marathi
63,54088.93708672561,Nepali
64,28931.758526221136,Non-verbal so described
65,2525.4007397156784,Norwegian
66,2657.995182699023,Oromo
67,8055.112411238195,Pashto
68,115583.9716795604,Punjabi
69,11300.186936883212,Romanian
70,9629.671421665415,Shona
71,4738.50667293111,Slovak
72,3561.7309914539255,Slovene
73,12364.4318081969,Somali
74,9999.540131040007,Swahili
75,7815.221149261749,Swedish
76,30037.875326897985,Telugu
77,965.6713709379122,Tetum
78,48360.333750728074,Thai
79,15435.039961495411,Tongan
80,6695.1470387971785,Ukrainian
81,60448.23635875576,Urdu
82,2948.481692655956,Wu
83,1310.2424563222621,Yiddish
84,20414228.2290697,Total population
