0,98988058.77928494,English
1,17394.749039272447,Welsh
2,4437.263818941468,Gaelic
3,1168.366994150938,Cornish
4,3252.0250992432243,Scots
5,305854.85865294933,French
6,276278.723768522,Portuguese
7,250026.31881691387,Spanish
8,190960.5166414891,Italian
9,158573.1304877419,German
10,1116007.7028805672,Polish
11,103478.51071301429,Slovak
12,59649.98567250023,Czech
13,140237.78274920717,Romanian
14,177842.75002845874,Lithuanian
15,65713.26204106331,Latvian
16,91193.78554888214,Hungarian
17,79758.97355919553,Bulgarian
18,103934.04730279156,Greek
19,54647.51904772401,Dutch
20,39798.29160040135,Swedish
21,20724.80586917196,Danish
22,13617.591482369324,Finnish
23,6993.330239358322,Estonian
24,2522.3229693222415,Slovenian
25,6181.378447394221,Maltese
26,68184.96983374363,Albanian
27,29561.37212457346,Serbian
28,13714.603904266334,Ukrainian
29,8406.337253945196,Yiddish
30,139763.26546818917,Russian
31,206853.68210705134,Turkish
32,321596.17858858575,Arabic
33,12963.812117411218,Hebrew
34,99361.80967947164,Kurdish
35,158549.93186511437,Persian
36,83529.8042190184,Pashto
37,561680.8331267496,Urdu
38,94536.49617294213,Hindi
39,572752.9030171691,Panjabi
40,46049.26591567821,Pakistani Pahari
41,455949.94705316995,Bengali
42,447558.3725590787,Gujarati
43,13242.195588941768,Marathi
44,30162.427347196233,Telugu
45,210417.83412891973,Tamil
46,73210.6350811474,Malayalam
47,30594.76531434595,Sinhala
48,109134.75670274862,Nepalese
49,44937.84099524943,Mandarin Chinese
50,90731.92206202463,Cantonese Chinese
51,57585.30825864866,Japanese
52,31514.274356674123,Korean
53,31459.44124864538,Vietnamese
54,55729.41844844501,Thai
55,24980.69863847989,Malay
56,142551.3181148815,Tagalog
57,18008.4580560557,Amharic
58,25739.926288108658,Tigrinya
59,177969.28797006354,Somali
60,2503.342278081522,Krio
61,38729.04599384084,Akan
62,31225.34605667651,Yoruba
63,16542.726899133497,Igbo
64,31402.49917492322,Swahili
65,7223.207499940365,Luganda
66,10274.88085830933,Lingala
67,44570.880964595526,Shona
68,23312.50677499001,Afrikaans
69,37275.96863107911,Other
70,107569081.66161555,Total
